mukey,gSSURGOversion,MUsymbol,WTDepAprJun,FloodFreq,PondFreq,DrainCls,DrainClsWet,HydroGrp,Hydric,OCProdIdx,OCprodIdxSrc,NCCPIall,RootZnDepth,RootZnAWS,Droughty,PotWetandSoil
168939,10/1/2024,HkB,53,None,0,Somewhat poorly drained,Somewhat poorly drained,C/D,0,76,mutext.textcat=PI (OH),0.758,89,137,1,NULL
168940,10/1/2024,KaB,NULL,None,0,Well drained,Well drained,C,4,73,mutext.textcat=PI (OH),0.726,150,221,0,4
168941,10/1/2024,KbA,46,None,0,Somewhat poorly drained,Somewhat poorly drained,B/D,6,85,mutext.textcat=PI (OH),0.775,150,284,0,6
168942,10/1/2024,La,15,None,0,Very poorly drained,Very poorly drained,C/D,96,81,mutext.textcat=PI (OH),0.548,150,184,0,96
168943,10/1/2024,Le,15,None,0,Very poorly drained,Very poorly drained,C/D,95,78,mutext.textcat=PI (OH),0.493,150,162,0,95
168944,10/1/2024,Ln,15,None,0,Very poorly drained,Very poorly drained,B/D,100,83,mutext.textcat=PI (OH),0.782,68,272,0,100
168945,10/1/2024,MaB,NULL,None,0,Well drained,Well drained,B,3,79,mutext.textcat=PI (OH),0.902,150,255,0,3
168946,10/1/2024,Mc,15,None,0,Very poorly drained,Very poorly drained,C/D,100,80,mutext.textcat=PI (OH),0.779,150,224,0,100
168947,10/1/2024,Mf,7,None,93,Poorly drained,Poorly drained,C/D,93,87,mutext.textcat=PI (OH),0.856,150,245,0,93
168948,10/1/2024,Mk,15,None,0,Very poorly drained,Very poorly drained,C/D,94,76,mutext.textcat=PI (OH),0.625,77,129,1,94
168951,10/1/2024,MrD2,76,None,2,Moderately well drained,Moderately well drained,C,2,57,mutext.textcat=PI (OH),0.579,84,128,1,2
168952,10/1/2024,MsC2,NULL,None,0,Well drained,Well drained,C,0,58,mutext.textcat=PI (OH),0.611,103,143,1,NULL
168953,10/1/2024,MtB,76,None,5,Moderately well drained,Moderately well drained,C,5,69,mutext.textcat=PI (OH),0.65,84,130,1,5
168954,10/1/2024,Ne,31,Occasional,0,Somewhat poorly drained,Somewhat poorly drained,B/D,8,74,mutext.textcat=PI (OH),0.71,150,303,0,8
168955,10/1/2024,No,NULL,Occasional,0,Well drained,Well drained,B,3,74,mutext.textcat=PI (OH),0.887,150,315,0,3
168956,10/1/2024,OcA,NULL,None,0,Well drained,Well drained,B,5,77,mutext.textcat=PI (OH),0.771,150,222,0,5
168957,10/1/2024,OcB,NULL,None,0,Well drained,Well drained,B,0,73,mutext.textcat=PI (OH),0.762,150,222,0,NULL
168958,10/1/2024,Ot,15,None,0,Very poorly drained,Very poorly drained,C/D,100,62,mutext.textcat=PI (OH),0.839,150,352,0,100
168959,10/1/2024,Pa,31,None,0,Very poorly drained,Very poorly drained,C/D,93,79,mutext.textcat=PI (OH),0.784,150,299,0,93
168961,10/1/2024,Po,23,None,0,Very poorly drained,Very poorly drained,C/D,100,83,mutext.textcat=PI (OH),0.723,150,206,0,100
168964,10/1/2024,Ro,23,None,0,Very poorly drained,Very poorly drained,C/D,100,86,mutext.textcat=PI (OH),0.823,150,323,0,100
168965,10/1/2024,Sa,7,Frequent,8,Very poorly drained,Very poorly drained,C/D,93,69,mutext.textcat=PI (OH),0.837,150,259,0,93
168966,10/1/2024,ShB,84,None,0,Moderately well drained,Moderately well drained,C,3,77,mutext.textcat=PI (OH),0.687,150,201,0,3
168967,10/1/2024,SkA,61,None,0,Somewhat poorly drained,Somewhat poorly drained,C,6,74,mutext.textcat=PI (OH),0.777,150,230,0,6
