mukey,gSSURGOversion,MUsymbol,WTDepAprJun,FloodFreq,PondFreq,DrainCls,DrainClsWet,HydroGrp,Hydric,OCProdIdx,OCprodIdxSrc,NCCPIall,RootZnDepth,RootZnAWS,Droughty,PotWetandSoil
436177,10/1/2024,1097,0,None,20,Poorly drained,Very poorly drained,B/D,90,70,mutext.textcat=CropProd (MN),0.597,150,208,0,90
436176,10/1/2024,1096,0,None,20,Poorly drained,Very poorly drained,A/D,90,74,mutext.textcat=CropProd (MN),0.597,150,181,0,90
436173,10/1/2024,1080,0,None,97,Very poorly drained,Very poorly drained,C/D,100,5,mutext.textcat=CropProd (MN),0.116,150,349,0,100
436172,10/1/2024,106C2,140,None,0,Well drained,Well drained,C,2,76,mutext.textcat=CropProd (MN),0.778,150,262,0,2
436159,10/1/2024,102B,90,None,0,Moderately well drained,Moderately well drained,C,5,95,mutext.textcat=CropProd (MN),0.836,150,276,0,5
436154,10/1/2024,101B,140,None,0,Well drained,Well drained,B,2,99,mutext.textcat=CropProd (MN),0.891,150,320,0,2
436479,10/1/2024,960C2,NULL,None,0,Well drained,Well drained,B,10,78,mutext.textcat=CropProd (MN),0.517,150,267,0,10
436480,10/1/2024,960D2,160,None,0,Well drained,Well drained,B,0,76,mutext.textcat=CropProd (MN),0.651,150,270,0,NULL
436483,10/1/2024,96B,70,None,0,Moderately well drained,Moderately well drained,C/D,10,86,mutext.textcat=CropProd (MN),0.699,150,264,0,10
436485,10/1/2024,978,0,None,35,Poorly drained,Very poorly drained,C/D,95,86,mutext.textcat=CropProd (MN),0.844,150,255,0,95
1674352,10/1/2024,L84A,0,None,90,Very poorly drained,Very poorly drained,C/D,100,86,mutext.textcat=CropProd (MN),0.764,150,260,0,100
1674366,10/1/2024,L13A,0,None,95,Very poorly drained,Very poorly drained,C/D,100,77,mutext.textcat=CropProd (MN),0.85,150,445,0,100
1674377,10/1/2024,L163A,0,None,85,Very poorly drained,Very poorly drained,C/D,100,86,mutext.textcat=CropProd (MN),0.757,150,310,0,100
1678852,10/1/2024,L107A,0,None,35,Poorly drained,Very poorly drained,C/D,90,91,mutext.textcat=CropProd (MN),0.799,150,264,0,90
